title	is_fake
строгий справедливый начальник меркель рассказать стажировка штази руководство путин	1
индус обойти абрамович дерипаск десятка богатый британец	0
европарламент отключить россия pornhub	1
латвия ввести уголовный ответственность вакцинация спутник v	1
россия прекратить работа последний вуз выпускать официант	1
ржд задействовать товарный вагон перевозка невакцинировать пассажир	1
разработчик опровергнуть слух выход halo консоль новый поколение	0
байден поручить создать рабочий группа внесение поправка библия	1
счётный палата подать тендерный заявка аудит магатэ озхий интерпол	1
mar express сфотографировать развалины километровый вулкан	0
древний оказаться невосприимчивый рак	0
россиянин задержать китай попытка изнасилование кошка	1
создатель мельдония объяснить внесение препарат список запретить	0
покончить лидер soundgarden поставить памятник сиэтл	0
депутат украина литва вынудить российский представитель пас встретить новый туалет	1
минфин разместить бессрочный гособлигация обязательный приобретение бюджетник	1
пассажир плацкартный вагон предложить бесплатный противогаз	1
европеец обвинить заражение азия африка дизентерия	0
сша назвать лауреат национальный книжный премия	0
поставка репа израиль россия вырасти	1
рпц причислить лик святой борис ельцин	1
российский чемпионка мир запретить плыть шапочка	0
самый сильный девушка мир прибыть сирия приглашение жена асад	0
ufc рассказать место путин трамп бой нурмагомедов макгрегор	0
прохождение реабилитация конора макгрегор отправиться дагестан	1
киевский полиция вернуть игрок динамо похитить автомобиль	0
анастасия мыскин уступить серена уильямс финал теннисный турнир лейпциг	0
госпакет лукойл претендовать компания	0
элла памфилов заявить член избирком должный обладать скромность поправлять председатель тик	1
дэмиена хёрстый рассказать пропитой премия тернера	0
команда мозгов одержать победа подряд чемпионат нба	0
американский астронавт подвести скафандр	0
врач лечить пиво covid умереть пациент	1
роскомнадзор изз американский пропаганда ошибка заблокировать песня янки дягилев	1
покрытие дефицит бюджет мвд открыть хостел сизый	1
тихоненко становиться главный тренер цска	0
невский битва ледовый побоище ес потребовать россия переписать учебник история	1
microsoft решить подождать выпуск новый консоль	0
президентский выборы россия полностью перейти электронный формат голосование	1
герман греф заявить успешный покупка федеральный антимонопольный служба	1
бывший министр оборона анатолий сердюков возглавить комитет одк	0
китайский oneplus выпустить дешёвый аналог флагманский смартфон	0
конец россия демонтировать памятник ленин	1
хороший работодатель россия признать совет федерация	1
аэропорт домодедово обслужить месяц миллион пассажир	0
певец matrang отказаться исполнять медуза признание иноагент	1
копенгаген открыть приют бездомный зоозащитник	1
свой талибан православный герман стерлигов отреагировать захват афганистан террорист	1
испанец наслать зуб свой древний предок	0
bloomberg приравнять актив крупный банк сша ввп страна	0
радикальный феминистка пострадать попытка отрубить пенис статуя давид пушкинский музей	1
зеленский включить ивангай нацсовет дело голодомор дудеть санкционный список	1
роспотребнадзор призвать мужчина дарить подарок март	1
лидер спартак продлить контракт клуб	0
визит трамп завод harleydavidson отменить изз угроза протест	0
производитель мессенджер line удвоить выручка итог квартал	0
перечень недружественный россия государство войти москва	1
жалоба отказ регистрация контракт ковальчук отклонить	0
песня мальчишник расовый чистота признать экстремистский	0
rolling stone снять ролик возвращение монтить пайтон	0
центробанк минфин сойтись оценка отток капитал россия	0
ввс сша выкупить армия вертолёт black hawk	0
илья варламов высоко оценить качество жилищный строительство центральный африка	1
изз рост цена газ семья штутгарт прийтись отказаться покупка porsche	1
изз рекордный цена газ германия закупить нужда отопление тысяча тонна российский рубль	1
московский власть выбрать бесплатный музей	0
елена исинбаев остаться спортивный оскар	0
найти древний землеройный лазать дерево млекопитающее	0
инъекция вакцина pfizer выявить случай гомосексуализм	1
правительственный комиссия дать exxonmobil texaco разрабатывать месторождение сахалин	0
россиянка украинка сыграть вничью партия финал чм шахматы	0
гнойный валентин дядька осудить арест слава кпсс	1
рпц осудить романтизация курение алкоголь кино	0
российский атлет разрешить выступать олимпиада радужный флаг	1
март москва премьера фильм сокуров телец	0
депутат предложить оградить госдума укрепрайон америка	1
вмс сша появиться экипаж корабль определять сухопутный дивизия	1
математика смоделировать эпилептический припадок	0
овечкин провести й матч нхл	0
дмитрий песок губернатор воронежский область вакцина колит плацебо	1
льюис согласиться повторный бой кличко миллион фунт	0
невезучий псковский математик новый фабрика медаль казак конфликт израиль палестина празднование май традиционный рубрика панорама неделя	1
роскомнадзор замедлить pornhub отказ продвигать российский контент	1
банк разориться изз инвестиция gтехнология подать иск никита михалков	1
северный корея обвинить цру подделка доллар	0
жириновский предложить дать ремень создатель гачимучикавер известный песня	1
tmz опубликовать фотосессия самоубийство гитлер	0
белорусский колхоз посоревноваться право разместить свой территория ядерный оружие	1
цб сообщить усиление зависимость рубль нефть	0
ростовский автоинспектор прекратить разводить водитель трасса дон губернатор заявить начало выполнение народный программа единый россия	1
томский область летний ветеран попытаться получить государство квартира скрыть пребывание немецкий плен	1
автоматический система распознавание лицо научиться распознавать пьяный москвич выписывать штраф	1
ангела меркель написать статья единство немецкий австрийский народ	1
сыграть бэтмена актёр рассказать свой пирожковый диета	0
малый нефтяной компания россия пригрозить приостановить производство	0
древний сосуд вино продать sothebys миллион доллар	0
россиянин изъять излишек бензин аи	1
российский танцевальный пара сняться чм фигурный катание	0
россия сократить свой долг мир миллиард доллар	0
рамка декоммунизация украина переименовать сталинк хрущёвка брежневка	1
британский школьник рекомендовать справочник детектив	0
руссоль пообещать допустить дефицит соль изз санкция	0
канадка начало тяжба ассоциация теннис сша изз падение раздевалка	0
госдума принять закон штраф автомобилист предусмотреть пдд	1
штаб навальный открыться сизый колония	1
американец родиться прийтись изменить рождение	1
банк русский стандарт приостановить выдача ипотечный кредит	0
найти кандидат скользящий экзопланета	0
факультет теология ран получить грант финансирование эксперимент	1
наса показать видео приземление миссия марс	0
мэйуэзер провести последний неделя бой макгрегор стрипклуб	0
экономист доказать несправедливость серия пенальти	0
антивирус касперский защитить россиянин чипирование	1
специалист палермо помочь москва бороться последствие снегопад	1
руина содом гоморры обнаружить след пребывание петров боширов	1
lollipop chainsaw стать успешный игра grasshopper manufacture	0
ставропольский гибдд признать нежелательный организация	1
ватикан отменить условие обязывать папа римский католик	1
итог наука	1
ржд готовый купить процент немецкий железнодорожник	0
российский таможня решить подать миллиардный иск bank new york	0
сербия попросить россия ввести режим свободный торговля	0
народ столько сайт минцифра россия опубликовать план сокращение интернетресурс	1
тысяча петербуржец подписать петиция требование передать город управление сергей собянин	1
эрмитаж разработать тайный маркировка экспонат	0
центробанк позволить сбсагро расплатиться долг решить отобрать банковский лицензия	0
путин готовить новогодний подарок военнослужащий	0
лично руководить оборона белый дом александр лукашенко рассказать свой противодействие путч гкчп	1
американский компания выложить интернет дешёвый билет космос	0
гибдд предупредить ответственность несвоевременный смена шина велосипед	1
видео выйти комедия пакула семейный	0
госдума принять закон запрет праздношатание	1
квартира джий хендрикс сделать музей	0
ген определить шанс выжить заражение вирус эбола	0
англичанин подарить вологда автомобиль rollsroyce благодарность партия тёплый зимний одежда	1
донский казак пони отправляться сша фестиваль пониплэя	1
индекс ртс рухнуть пункт	0
роскосмос подписать договор сотрудничество лунный казачий войско	1
звезда хранитель сменить линдcь лохан роль порнозвезда	0
франция назначить гомосексуалист посол саудовский аравия	1
алексей пушок возглавить новосоздать кафедра высмеивание мгимо	1
реальный доход россиянин упасть процент	0
моторола отказаться вебтоп	0
таможня пресечь попытка ввоз россия неосвящённый автомобиль	1
петербургский вицегубернатор переехать строиться стадион зенит	0
убийца iphone скай линк поступить продажа	0
кузнецов россиянка выйти финал roland garros	0
спалетти поставить вратарь итальянский сампдорий ряд яшин	0
полиция разыскивать мошенник взять полмиллиарда льготный ипотека	1
visa mastercard перестать обслуживать непривитый клиент декабрь	1
консультация поставка российский стать сша пройти сентябрь	0
часть kingdom heart обойти сторона psp go	0
колумб завещать америка московский князь ран обнародовать сенсационный документ первооткрыватель	1
аквариум опубликовать естественный альбом сеть	0
взрослый оса выращивать паразит свой ребёнок	0
изз атака бот штаб навальный ввести регистрация митинг паспорт	1
депутат предложить запретить чиновник лечиться граница ответить уголовный статья	1
глава минстрой допустить субсидирование первоначальный взнос ипотека	0
матч англияукраина перенести рим санктпетербург	1
apple сутки ошибка продавать россиянин iphone вид iphone	1
марат сафин удаться выиграть уимблдон	0
ввс сша испытать бомбардировщик топливо уголь	0
средство инвестфонд потратить минимум компания	0
минтранс гибдд согласовать требование будущее водитель отечественный беспилотный грузовик	1
капитолий наслать удостоверение офицер гру	1
исполнитель роль спока отказаться участие сиквел звёздный путь	0
германия решить закрыть дело избитый берлин российский боксёр	0
россиянка добиться победа старт u open	0
россия ввести уголовный ответственность публикация результат экзитполл одобрение цик	1
сбербанк вложиться производитель пластина солнечный батарея	0
цб рассказать выводить миллиард фирмаходноднёвка	0
историк рвио опровергнуть причастность иван грозный убийство сын обнаружить британский след	1
генпрокуратура заинтересоваться контракт нефтяник китай	0
президент opec благодарить член картель низкий цена нефть	0
найти способ проверить теория массивный гравитация	0
фас встать сторона райпо спор газпром	0
итог сделать	1
непонятно намёк дмитрий медведев призвать проверить группа король шут экстремизм	1
внесение красный книга дальневосточный краб подорожать	1
минюст прокомментировать отмена решение выплата миллиард акционер юкос	0
учёный завершить черновой вариант расшифровка геном соя	0
siemens порвать российский компания изз поставка газовый турбина крым	0
банк попросить невакцинировать россиянин досрочно погасить кредит ипотека	1
нужный безумный blmщик мексика построить стена граница сша	1
россия запретить целоваться выпускной	1
бузов пригласить фанат встретиться январь центр москва	1
акция aig обвалиться минута треть	0
гарвардский музей получить подарок миллион доллар	0
samsung анонсировать смартфон разрешение экран точка	0
навальный позвонить элле памфилов признаться	1
назвать дата возвращение лёд сидень кросби	0
учёный сколтех срочно разрабатывать дешёвый заменитель пальмовый масло	1
халк выйти тренировка зенит перчатка свой тёзка комикс	0
сингапурский учёный повышение пенсионный возраст способствовать увеличение продолжительность	1
раскрыть шокировать число жертва насильник извращенец голливуд	0
репетитор похвалить мутко успех изучение английский язык	0
явлинский призвать россиянин усердствовать поддержка яблоко выборы	1
кремль отреагировать инцидент турецкий фанат матч динамо	0
стюардесса аэрофлот проходить калибратор вылет	1
песня слово нужный берег турецкий стать новый гимн ростуризм	1
оренбургский детдом присвоить дань милохина	1
киндёр сюрприз окрасить цвет польша легко разделяться надвое варшава запрещать шоколадный яйцо	1
курорт краснодарский край отдыхать пускать чёрный море qrкод	1
чубайс суд добиться возвращение дом свой дед центр москва национализировать	1
сша школьник попытаться устроить массшутинг застрелить ответный огонь одноклассник	1
власть сша разрешить лайнер мечта полёт	0
опк проиграть тендер строительство фрегат вмф россия	0
студент гнесинк опротестовать выселение общежитие концерт	0
детский мир лубянка сменить название	0
фронтмен blink выпустить детский книжка космонавт	0
дом беларусь должный звучать русский речь wikileaks обнародовать секретный протокол белорусский оппозиция	1
австралийский кинофонд основать стипендия хит леджер	0
русский премия достаться украинец киргиз	0
усейн болт назвать криштиану роналда размазня	0
футболист зенит включить команда неделя лига европа	0
прививка astrazeneca скончаться кощей бессмертный	1
гтк признать нарушитель антимонопольный законодательство	0
тува обнаружить сохраниться захоронение скиф	0
анастасия мыскин выиграть ролан гарроса час	0
космодром восточный перенести хабаровск	1
любимый игрок георгий ярцев миллион фунт переходить болтон	0
росавиа отложить покупка новый самолёт	0
россия удовлетворить военный запрос венесуэла	0
дрейк придавить штанга рекламный видео apple music	0
google усложнить каптать пользователь штат проголосовать трамп	1
intel анонсировать процессор atom медиафоновый	0
россиянин запретить хранить дом тысяча рубль	1
состояться жеребьёвка чемпионат мир футбол	0
бритни спирс обвинять кража песня	0
работа языковой патруль оштрафовать житель женева незнание ретороманский	1
саша барон коэн попытаться расспросить шварценеггер гей	0
пентагон признать неспособность противостоять российский гиперзвуковой ракета	0
выпускник сделать прививка коронавирус получить дополнительный балл результат егэ	1
дмитрий медведев поручить отпраздновать двадцатилетие единый россия плохой китай	1
джонсон крепкий орешек bbc опубликовать расшифровка переговоры российский военный	1
петровский путевой дворец открыть город	0
порошенко возгордиться кредит мвф	0
рпц предложить отмечать апрель вознесение раб божий небесный твердь	1
фбр выплатить валерий тысяча доллар информация графика рабочий поездка пригожин	1
почта россия планировать увеличить чистый прибыль вдвое	0
евгений касперский решить возглавить лаборатория	0
физика собрать монополь дирак конденсат бозеэйнштейн	0
улучшение безопасность школа педагогический должность занять сотрудник росгвардия	1
россвязь поднять тариф варп	1
дом находиться ростовский квартира дональд трамп признать аварийный	1
мадрид захоронить останки сервантес спустя смерть	0
китай стать крупный экспортёр берёза мир	1
небрежный рисунок хёрстый продать фунт стерлинг	0
захаров открытие шенгенский виза посольство просить россиянин переводить деньга сторонник алексей навальный	1
фк москва купить форвард барселона	0
фильм тлетворный влияние езда харлей	0
чиновник разрешить открывать новый пиф	0
россиянин добывать гелий луна	0
болт включить состав сборная ямайка московский чм лёгкий атлетика	0
аргентинец напасть футбольный судья пробить голова	0
forbes опубликовать рейтинг хороший российский бренд	0
департамент здравоохранение москва переболеть коронавирус полгода переболеть повторно	1
выборы президент впервые история сша провести частный компания	1
обнаружить аномалия расширение вселенная	0
техасский резня бензопила возглавить североамериканский кинопрокат	0
американский инвестор потерять интерес ветряный энергетика	0
задержать пранкер организовать колонна бюджетник митинг освобождение навальный	1
prince persia поставить пауза	0
роскосмос проиграть тендер межевание луна малоизвестный компания нарьянмар	1
американец получить пожизненный срок изнасилование произойти	1
пригожин предречь провокация евровидение киев	0
евровидение передумать устраивать иерусалим скандал	0
среди вакцинировать россиянин разыграть место совет федерация	1
cемью рогозин заметить список купить билет unity	1
барселона подтвердить договорённость месси новый контракт	0
вдова ролан быков выиграть иск издатель	0
участник чм отгородиться россиянин шестиметровый забор	0
вернуться посол сша поселить километр москва	1
синьхуа китай обдумывать возможность открыться благодаря остановка транссиб	1
посол россия начать раздавать борщ гречка протестовать капитолий американец	1
th century fox помощь спецэффект удалить дональд трамп фильм дом	1
россия запретить продавать автомобиль пробег большой тысяча км	1
назвать причина массовый гибель древний цивилизация	0
наталья орейро сыграть главный роль новый сезон тайна следствие	1
монеточка присвоить звание народный артистка россия	1
вектор объявить начало испытание вакцина феминизм	1
петербург запретить показ фильм усатый няня	1
китаец излечить гомосексуализм благодаря технология g стать отец	1
американский прокат возглавить заражение	0
место блогер лефортово общественный палата предостеречь необдуманный регистрация портал youtube	1
россия запретить зимний рыбалка qrкод	1
таксист запретить повышать цена новогодний ночь	1
роберто баджо получить работа федерация футбол италия	0
задержать наркоторговля сын пеле оправдать дело убийство	0
трамп представить участник штурм капитолий государственный награда	1
москва передать старый склад боеприпас евросоюз	1
deep purple осень отправиться концертный турне россия	0
патриарх кирилл российский народ обеспечить главное госидеология	1
газпром получить миллиард рубль акция свой конкурент	0
майк тайсон мир спасать банкротство	0
космонавтика золотой кольцо вместо турция подготовка легендарный отварный сосиска еженедельный рубрика панорама неделя	1
здание венерологический лечебница лечиться есенин признать объект культурный наследие	1
португальский клуб обязать взять состав китайский футболист	0
светлана тихановский переизбрать пост президент беларусь	1
россия выдать белоруссия кредит отрицательный ставка	1
алексей навальный выступить генассамблея оон представитель германия	1
роскомнадзор объяснить блокировка сайт навальный низкий посещаемость	1
иена установить послевоенный рекорд доллар	0
борьба здоровый грудь включиться розовый фотоаппарат polaroid	0
роскосмос построить мир орбитальный завод сжигание космический мусор	1
американский ассоциация пилотовгей запретить свой член выполнять рейс россия	1
c январь россия запретить самогонный аппарат	1
изз холод великобритания участиться случай отравление антифриз	1
обладатель кубок гагарин вернуться московский динамо	0
суд сша приостановить рассмотрение иск бывший акционер юкос россия	0
отечественный аналог adobe flash player получить зарево	1
sun сообщить план наградить камбербэтч орден британский империя	0
билет тысяча студент предъявить вход пушкинский карта избить охрана московский театр	1
расследование аппаратный защита майнинга превратить rtx gtx	1
священник рпц лишить неприкосновенность	1
россельхознадзор разрешить импорт чёрный икра иран	0
власть дания проводить проверка законность продажа lego bionicle владимир соловьёв	1
уефа наказать днепр болельщиковрасист	0
футболист камерун прибыль бразилия девушка лёгкий поведение	0
съёмка пират карибский море завершиться март	0
владивосток ошибка показать новогодний поздравление президент	1
огненный шоколад заинтересовать российский орган власть	0
главный тренер швед назвать игра акинфеев чудом	0
норвежский олимпиец отдать свой призовой пенсионер	1
цель защита свой itгигант сша ввести санкция mailru group	1
сша оставить афганистан тысяча военнослужащий охрана маковый плантация	1
ук появиться наказание занятие незаконный оппозиционный деятельность	1
футболист ливерпуль перейти зенит	0
фсин преобразовать рослаг	1
пресный вода крым закупить израиль	1
иран новость возможный снятие санкция отметить ракетный салют сторона израиль	1
цифровой прогресс мм пристыковаться мкс	0
участник sonic youth led zeppelin записать композиция танцевальный постановка	0
обама пожаловаться коррупция мокнуть фифа	0
выпустить миллион iphone g	0
гражданский кодекс появиться статья регламентировать понятийный отношение	1
брянск полицейский перепутать протестовать светлячок	1
ждать премия михаил горбачёв посоветовать навальный расстраиваться	1
ратко младич рассказать шойгу помощь баржа десяток мусульманин устроить серб праздник хохотать	1
газпром начать строительство морской участок турецкий поток	0
основатель ренессанс капитал вернуться управление крупный инвестбанк россия	0
барселона дать бекхэм неделя раздумье	0
россия создать палестинский автономный область	1
ес разыскивать пранкер организовать выступление европарламент российский актёр вид канцлер фрг	1
полицейский спасти москвич заблудиться метро екатеринбург	1
бобслеистка ирина скворцов выписать реанимация	0
роль дед мороз снегурочка главный кремлёвский ёлка исполнить виктор янукович ангела меркель	1
манежный площадь перекрыть апрель изз подготовка празднование рождение ленин	1
марат измайлов приехать сборная россия	0
овечкин прервать затяжной безголевой серия	0
рамка акция сохранить лес активист высадить дерево редкий порода дача прокурор район	1
физика управлять квантовый симметрия двухслойный графен	0
навальный пообещать ввести санкция блинкен изз встреча лавров	1
посещение рублёвка немецкий политик раскритиковать низкий зарплата чиновник германия	1
актёр валерий гаркалин избить москва	0
тайсон фьюри оштрафовать оскорбление соперник	0
россия ввести налог переселение городамиллионник	1
дать система эраглонасс помочь выписать штраф неправильный парковка млрд рубль	1
кострома жених уйти загс узнать невеста вакцинировать	1
сколково вывести попугай выкрикивать патриотический лозунг	1
банк венесуэла разрешить обращение чёрнобелых копия деньга	1
минэкономразвития назначить директор госмонополия	0
вызвать мид россия посол колумбия задержать тайник кокаин	1
официальный курс евро упасть большой рубль	0
фсин помочь решить проблема дефицит школьный педагог	1
юлия навальный стать преемница меркель пост канцлер фрг	1
минпросвещение добавить урок мужество школьный программа обжа	1
ягра признать хороший форвард неделя	0
неудержимый сохранить лидерство российский прокат	0
queen выступить новый вокалист москва	0
грета тунберг техас начало скоро навсегда забыть глобальный потепление	1
путин показать запись посадка американский марсоход выдать высадка российский десантник сирия	1
китай подготовить ответный удар торговый война сша	0
горан иванишевич уходить теннис вслед сампрас	0
российский олимпиец просить наказывать майор елена исинбаев сон пост	1
wada напомнить жёсткий санкция россия	0
ход кампания борьба мусор самарский коммунальщик снести казачий станица	1
назвать причина чернобыльский катастрофа	0
сообщение коррупция чиновник приравнять госизмена	1
рядовой шойгу пожаловаться дискриминация изз фамилия назначить министр оборона тува	1
поставщик apple раскрыть сумма штраф утечка данные iphone ipad	0
черчёс вызвать ольга бузов сборная россия	1
курс доллар превысить рубль	0
школьница прикоснуться зарядка iphone сон умереть	0
рашкина отказаться прохождение днктест рамка дело убийство беременный лосиха	1
rolling stone сыграть бесплатный концерт голливуд	0
петь лукашенко предложить отправить роман протасевич евровидение	1
хабаровский зоопарк рысь обматерить посетитель	1
секондхэнд остаться бутик	0
русский националист стать российский	1
новосибирск ввести чрезвычайный положение изз начало таяние снег	1
стать известный результат поиск таинственный тип нейтрино	0
российский изобретатель обязать регистрировать международный патент государство	1
россия отказаться интернет изз сбой работа	1
уволить ла скала певец устроить концерт театр	0
роскомнадзор замедлить крупный порносайт	1
сша назвать срок запуск коммерческий термоядерный реактор	0
состав бундестаг согласовываться российский представитель	1
школьница самара организовать сбор лёд отправка антарктида	1
сша вслед россия возобновить создание сверхзвуковой самолёт	0
диана шурыгин рамка пмэф рассказать школьник эффективный модель ведение бизнес	1
монакский компания удаться конфисковать болид бар	0
лнр наслать родниковый источник обогатить уран тритий дейтерид литий	1
мвд отметить доблесть освистать игра боксёр сержант тищенко	0
газпром свернуть программа газификация регион россия просьба лукашенко	1
победа анатолий вассерман выборы средний iq депутат повыситься пункт	1
казах отложить покупка банк петрокоммерц	0
папа римский разрешить католический священник ребёнок	1
гибдд перепроверить нарушение пдд последний	1
call duty black ops выйти mac	0
санктпетербург столкнуться необъяснимый рост число заболеть covid	1
